		1.61676E+12	OBD	FUL	VIN	OAL	EGT	EVT				
*TS70	866758049135151	1616764104001	GPS:3;N36.404458;E10.146428;0;63;2.44	STT:2;0	MGR:4	ADC:0;12.34;1;27.67;2;3.71	EGT:212	EVT:F0;1#				
*TS71	866758049135151	1616765105002	GPS:3;N36.404585;E10.146457;0;0;2.48	STT:0;0	MGR:4	ADC:0;12.15;1;31.65;2;3.82	EGT:212	EVT:F0;2#				
*TS72	866758049135151	1616766106003	GPS:3;N36.404585;E10.146457;0;0;2.53	STT:200;0	MGR:4	ADC:0;12.21;1;34.45;2;3.83	EGT:212	EVT:F0;200#				
*TS73	866758049135151	1616767107004	GPS:3;N36.404559;E10.146531;0;0;2.62	STT:0;0	MGR:4	ADC:0;0.00;1;34.85;2;3.69	EGT:225	EVT:F0;200#				
*TS74	866758049135151	1616768108005	GPS:3;N36.404559;E10.146531;0;0;2.63	STT:1;0	MGR:4	ADC:0;0.00;1;34.98;2;3.55	EGT:225	EVT:F0;1#				
*TS75	866758049135151	1616769109006	GPS:3;N36.404486;E10.146292;0;0;2.84	STT:0;0	MGR:8	ADC:0;12.38;1;36.69;2;3.84	EGT:356	EVT:F0;200#				
*TS76	866758049135151	1616770110007	GPS:3;N36.404486;E10.146292;0;218;2.60	STT:1;0	MGR:8	ADC:0;0.00;1;36.50;2;3.59	EGT:356	EVT:F0;1#				
*TS77	866758049135151	1616771111008	GPS:3;N36.404486;E10.146292;0;218;2.60	STT:3;0	MGR:8	ADC:0;0.00;1;36.50;2;3.57	EGT:356	EVT:F0;2#				
*TS78	866758049135151	1616772112009	GPS:0;N36.404475;E10.146420;0;0;99.99	STT:0;0	MGR:8	ADC:0;12.31;1;32.76;2;3.73	EGT:356	EVT:F0;1#				
*TS79	866758049135151	1616773113010	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.23;1;36.71;2;3.82	EGT:356	EVT:1#				
*TS80	866758049135151	1616774114011	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.14;1;36.71;2;3.82	EGT:356	EVT:1#				
*TS81	866758049135151	1616775115012	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.09;1;36.71;2;3.82	EGT:356	EVT:1#				
*TS82	866758049135151	1616776116013	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.23;1;36.71;2;3.82	EGT:356	EVT:1#				
*TS83	866758049135151	1616777117014	GPS:3;N36.404596;E10.146407;0;0;0.98	STT:0;0	MGR:8	ADC:0;12.19;1;36.71;2;3.82	EGT:356	EVT:1#				
*TS84	866758049135151	1616778118015	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.31;1;36.71;2;3.82	EGT:356	EVT:1#				
*TS85	866758049135151	1616779119016	GPS:3;N36.404596;E10.146407;0;0;0.92	STT:0;0	MGR:8	ADC:0;12.03;1;36.90;2;3.82	EGT:356	EVT:1#				
*TS86	866758049135151	1616780120017	GPS:3;N36.404596;E10.146407;0;0;0.98	STT:0;0	MGR:8	ADC:0;12.22;1;37.11;2;3.82	EGT:356	EVT:1#				
